ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,ssl_interlog_key,base_key
84.0,3.0,0.0,1.0,0.0,17.150806818181817,0.0,16924,313
44.0,2.0,0.0,1.0,0.0,22.647553191489365,0.0,11104,314
26.0,1.0,0.0,1.0,0.0,27.117392857142864,0.0,17764,315
26.0,1.0,0.0,1.0,0.0,27.117392857142864,0.0,13921,316
14.0,0.0,0.0,1.0,0.0,26.887733333333333,0.0,15713,317
7.0,0.0,0.0,0.0,0.0,6.500857142857142,0.0,8955,318
1.0,0.0,0.0,0.0,0.0,14.863,0.0,759,319
52.0,1.0,1.0,0.0,0.0,10.287074074074074,0.0,10224,320
52.0,1.0,1.0,0.0,0.0,10.287074074074074,0.0,6476,321
52.0,1.0,1.0,0.0,0.0,10.287074074074074,0.0,17829,322
53.0,1.0,1.0,0.0,0.0,10.212745454545454,0.0,939,323
53.0,1.0,1.0,0.0,1.0,18.713517857142854,0.0,2209,324
52.0,1.0,1.0,0.0,1.0,18.78352727272727,0.0,8378,325
1.0,0.0,0.0,0.0,1.0,246.2275,0.0,279,326
1.0,0.0,0.0,0.0,1.0,246.2275,0.0,19842,327
1.0,0.0,0.0,0.0,1.0,246.2275,0.0,4146,328
1.0,1.0,0.0,0.0,1.0,231.78033333333335,0.0,10507,329
1.0,1.0,0.0,0.0,0.0,104.5425,0.0,10820,330
1.0,1.0,0.0,0.0,0.0,104.5425,0.0,16444,331
1.0,1.0,0.0,0.0,0.0,104.5425,0.0,16950,332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17613,333
16.0,3.0,0.0,0.0,0.0,27.165368421052634,0.0,16938,334
16.0,3.0,0.0,0.0,0.0,27.165368421052634,0.0,6802,335
16.0,3.0,0.0,0.0,0.0,27.165368421052634,0.0,10645,336
16.0,3.0,0.0,0.0,0.0,27.165368421052634,0.0,6256,337
16.0,3.0,0.0,0.0,0.0,27.165368421052634,0.0,1833,338
39.0,5.0,0.0,0.0,0.0,22.78131818181818,0.0,19708,339
68.0,2.0,0.0,1.0,0.0,13.73935211267606,0.0,4811,340
117.0,2.0,0.0,1.0,0.0,8.315225,0.0,9156,341
117.0,2.0,0.0,1.0,0.0,8.315225,0.0,20151,342
117.0,2.0,0.0,1.0,0.0,8.315225,0.0,11426,343
96.0,0.0,0.0,1.0,0.0,5.299659793814433,0.0,3107,344
67.0,0.0,0.0,0.0,0.0,3.255641791044776,0.0,19248,345
46.0,1.0,0.0,0.0,0.0,11.689957446808513,0.0,7581,346
56.0,1.0,0.0,0.0,0.0,10.05982456140351,0.0,14677,347
54.0,1.0,0.0,0.0,0.0,10.380618181818178,0.0,17597,348
38.0,1.0,0.0,0.0,0.0,9.682435897435898,0.0,20121,349
10.0,0.0,0.0,0.0,0.0,2.3982,0.0,10295,350
63.0,1.0,0.0,0.0,0.0,5.53590625,0.0,2906,351
123.0,2.0,0.0,0.0,0.0,6.27028,0.0,12335,352
123.0,2.0,0.0,0.0,0.0,6.27028,0.0,18161,353
123.0,2.0,0.0,0.0,0.0,6.27028,0.0,9813,354
123.0,2.0,0.0,0.0,0.0,6.27028,0.0,12067,355
123.0,2.0,0.0,0.0,0.0,6.27028,0.0,15010,356
